uwYear,gender,carType,carCat,job,age,nYears,carVal,cover,density,claimSizeMD,age_bucket,age_cluster_code,age_cluster,carVal_cluster_code,carVal_cluster,density_cluster_code,density_cluster,claimNumbMD,Expected_Frequency,Expected_Severity,Expected_Cost,risk_flag
2009,Female,E,Large,Unemployed,42,0,39650,0,170.0,1178.0,"(41.0, 46.0]",1.0,35 - 53,2.0,"€31,188 - €49,995",1.0,97 - 193 inh/km²,,0.5877111000133033,695.9277903255673,409.00448718206667,Medium Risk
2009,Female,C,Medium,Housewife,21,0,12600,1,59.0,283.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.42780038773847595,510.58629306356175,218.42901414654284,Low Risk
2009,Female,D,Large,Employed,33,10,9065,0,110.0,418.0,"(32.0, 36.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.3715279712155395,539.5885117858546,200.47222507501078,Low Risk
2009,Female,D,Small,Employed,26,7,27335,1,48.0,119.0,"(25.0, 28.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.3545060685978121,463.861868872889,164.4418475065617,Low Risk
2009,Female,C,Small,Unemployed,20,13,7710,0,78.0,1302.0,"(17.999, 20.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.40191139101761464,821.4115406469966,330.13465489935635,Medium Risk
2009,Female,B,Medium,Employed,29,12,8965,0,273.0,2874.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.5817036207220253,866.2321878019219,503.8904000303394,High Risk
2009,Male,E,Medium,Unemployed,31,10,21030,1,251.0,132.0,"(28.0, 32.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.752928561780533,846.2338313180492,637.153621544329,High Risk
2009,Male,D,Medium,Employed,35,1,19995,1,145.0,9.0,"(32.0, 36.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.4983623689427765,570.5792113709015,284.35520744830364,Medium Risk
2009,Male,C,Small,Employed,27,0,18395,0,167.0,1996.0,"(25.0, 28.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.5800664253913519,832.1176912891649,482.6835346910104,High Risk
2009,Female,A,Large,Housewife,65,15,11880,0,223.0,115.0,"(54.0, 75.0]",2.0,53 - 75,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.40379436003135,470.6334911068718,190.03914935081934,Low Risk
2009,Female,A,Medium,Unemployed,25,2,23130,0,108.0,79.0,"(23.0, 25.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.4527934458803535,962.4963549257524,435.81204119411115,High Risk
2009,Male,D,Small,Unemployed,24,8,15680,0,33.0,581.0,"(23.0, 25.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4237352091894537,777.8992952992588,329.62332062196003,Medium Risk
2009,Male,D,Small,Employed,21,0,33920,0,103.0,132.0,"(20.0, 23.0]",0.0,18 - 35,2.0,"€31,188 - €49,995",1.0,97 - 193 inh/km²,,0.5611635730927723,740.0737365988599,415.30242238193546,Medium Risk
2009,Female,A,Small,Employed,29,0,11370,0,32.0,312.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.31170457474375096,642.877600838637,200.38788918169024,Low Risk
2009,Male,D,Small,Unemployed,22,6,23130,0,286.0,569.0,"(20.0, 23.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.8981852040970074,1215.6539329007771,1091.8823758338142,Extreme Risk
2009,Female,D,Large,Unemployed,21,5,8695,0,112.0,1351.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.49001866569643626,818.33634345256,401.00008310952404,Medium Risk
2009,Male,A,Small,Self-employed,18,2,11925,0,297.0,3138.0,"(17.999, 20.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.7125525893716829,1385.187556822625,987.0189803793966,Extreme Risk
2009,Male,D,Large,Employed,34,3,4190,0,31.0,466.0,"(32.0, 36.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3411137229221507,552.6468892029663,188.51543783736918,Low Risk
2009,Male,B,Small,Employed,41,1,5020,0,62.0,368.0,"(36.0, 41.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3343042178909169,637.7529950719676,213.2035162251239,Low Risk
2009,Male,B,Medium,Employed,48,12,18335,0,77.0,740.0,"(46.0, 54.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.30043915890625217,567.5391546916698,170.5109862819306,Low Risk
2009,Male,A,Small,Employed,21,4,6050,1,67.0,249.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3873273304789887,720.351985777457,279.01201165642084,Medium Risk
2009,Male,A,Large,Employed,27,0,27630,0,170.0,518.0,"(25.0, 28.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.5618015214236584,939.1707460797576,527.6275540242001,High Risk
2009,Female,A,Large,Self-employed,47,3,41845,0,271.0,1857.0,"(46.0, 54.0]",1.0,35 - 53,2.0,"€31,188 - €49,995",2.0,193 - 297 inh/km²,,0.5607617905527705,812.3477731678391,455.53359183315337,High Risk
2009,Male,B,Medium,Self-employed,51,3,27000,0,46.0,1752.0,"(46.0, 54.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.26664702902026527,590.0282789702668,157.3292876253619,Low Risk
2009,Male,C,Medium,Housewife,38,0,26040,0,58.0,2215.0,"(36.0, 41.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.41798029683675314,547.898924361692,229.0109550412378,Low Risk
2009,Male,B,Medium,Employed,45,14,18035,1,51.0,719.0,"(41.0, 46.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.26744859045285596,480.3506846675151,128.4691135373912,Low Risk
2009,Male,A,Small,Housewife,23,7,44645,0,223.0,1422.0,"(20.0, 23.0]",0.0,18 - 35,2.0,"€31,188 - €49,995",2.0,193 - 297 inh/km²,,0.7288908268330977,934.7144721151218,681.3048044328535,High Risk
2009,Female,B,Small,Housewife,35,3,14015,1,34.0,38.0,"(32.0, 36.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.31574003007059587,441.31839587903875,139.34188358555483,Low Risk
2009,Male,D,Large,Unemployed,23,15,7445,0,32.0,236.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3873419549863058,759.1982423073698,294.06933139750373,Medium Risk
2009,Male,C,Small,Employed,35,2,7825,0,27.0,703.0,"(32.0, 36.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3288652755499511,594.4987141835342,195.50998345405958,Low Risk
2009,Male,D,Medium,Unemployed,22,7,10325,0,122.0,649.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.5490841369062571,926.1776921802543,508.54947873262404,High Risk
2009,Male,A,Medium,Employed,22,3,6185,1,171.0,882.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.5111887294617264,847.0373168738613,432.99592981941896,High Risk
2009,Male,C,Small,Housewife,28,0,27395,0,69.0,1057.0,"(25.0, 28.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4924790001767297,630.7682939769903,310.6401387609697,Medium Risk
2009,Female,C,Large,Employed,29,5,8675,0,27.0,745.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.30997207541709304,553.7287319023861,171.64044424585774,Low Risk
2009,Male,E,Large,Employed,47,1,13850,0,115.0,96.0,"(46.0, 54.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.4305678110322854,532.9188753513913,229.4577136178359,Low Risk
2009,Female,E,Small,Self-employed,29,3,7270,1,190.0,811.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.4888336669471942,608.9896960666588,297.6946662613221,Medium Risk
2009,Female,B,Large,Unemployed,27,2,8710,0,184.0,2990.0,"(25.0, 28.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.5529030328926087,1027.1489248260748,567.9137557687188,High Risk
2009,Male,A,Medium,Unemployed,54,4,45860,1,14.0,319.0,"(46.0, 54.0]",2.0,53 - 75,2.0,"€31,188 - €49,995",0.0,14 - 97 inh/km²,,0.2608867250102542,560.2807705997391,146.16981532798744,Low Risk
2009,Female,C,Small,Employed,20,9,21350,0,184.0,961.0,"(17.999, 20.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.5286297112394859,782.8161626644671,413.81988202291967,Medium Risk
2009,Male,D,Medium,Employed,28,2,34980,0,48.0,258.0,"(25.0, 28.0]",0.0,18 - 35,2.0,"€31,188 - €49,995",0.0,14 - 97 inh/km²,,0.4348076305802717,614.714455573999,267.2825359115722,Medium Risk
2009,Male,B,Large,Housewife,46,8,22165,0,124.0,1788.0,"(41.0, 46.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.4244857836994923,576.6287695930989,244.77071516440057,Low Risk
2009,Female,B,Large,Employed,23,9,9835,0,77.0,2519.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.36420105733961095,688.0452656324896,250.5868132408662,Medium Risk
2009,Male,D,Small,Employed,18,3,15180,0,233.0,366.0,"(17.999, 20.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.7354752955142856,934.7279925005516,687.4693465098181,Extreme Risk
2009,Male,E,Small,Housewife,31,3,15745,0,30.0,209.0,"(28.0, 32.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4308587813697729,503.4559014453202,216.91839617015114,Low Risk
2009,Male,A,Small,Housewife,49,4,4975,1,284.0,61.0,"(46.0, 54.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.6658539691923855,654.2854444085881,435.65856014426225,High Risk
2009,Male,E,Medium,Housewife,38,7,8365,0,100.0,583.0,"(36.0, 41.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.460006772848377,507.44495606842344,233.4281166392219,Low Risk
2009,Male,B,Small,Employed,26,6,22380,0,223.0,72.0,"(25.0, 28.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.6392614891069028,972.0917135708827,621.4207963658033,High Risk
2009,Female,E,Medium,Retired,54,3,23260,1,251.0,179.0,"(46.0, 54.0]",2.0,53 - 75,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.34768054550384553,896.9077305057751,311.83736900886396,Medium Risk
2009,Male,C,Small,Housewife,25,7,14145,0,277.0,1254.0,"(23.0, 25.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.8122984513267245,886.6215716311574,720.2013295488557,Extreme Risk
2009,Male,E,Small,Unemployed,29,0,25335,1,95.0,1500.0,"(28.0, 32.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.5431075259775094,707.2867877039985,384.13277742649854,Medium Risk
2009,Male,E,Medium,Self-employed,23,0,29520,0,69.0,138.0,"(20.0, 23.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.47725428974228173,723.9718502515407,345.5186711852046,Medium Risk
2009,Female,E,Small,Self-employed,51,9,6645,0,26.0,73.0,"(46.0, 54.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.21657961461519662,401.7018097405299,87.000423143831,Low Risk
2009,Male,A,Medium,Housewife,35,1,48830,1,275.0,19.0,"(32.0, 36.0]",0.0,18 - 35,2.0,"€31,188 - €49,995",2.0,193 - 297 inh/km²,,0.8219493681876797,777.4432392623216,639.0189793134484,High Risk
2009,Female,E,Medium,Unemployed,26,0,10150,1,249.0,6258.0,"(25.0, 28.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.7378844603113349,828.1571495100196,611.0842913191743,High Risk
2009,Male,E,Small,Employed,51,2,10495,0,56.0,120.0,"(46.0, 54.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.32397059644483855,458.586141669719,148.56842583807608,Low Risk
2009,Male,C,Large,Employed,26,7,4360,0,108.0,76.0,"(25.0, 28.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.4394575185152746,738.9446923830008,324.73480083466643,Medium Risk
2009,Male,A,Small,Unemployed,20,7,15920,1,88.0,1744.0,"(17.999, 20.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4531666860716099,945.6764044319672,428.5490422925501,Medium Risk
2009,Male,B,Small,Self-employed,19,1,7865,0,123.0,163.0,"(17.999, 20.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.475988998312239,1001.1739495924995,476.5477854028419,High Risk
2009,Female,A,Medium,Self-employed,56,8,16020,0,185.0,1390.0,"(54.0, 75.0]",2.0,53 - 75,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.3337244478880762,616.6392066539925,205.78757878674497,Low Risk
2009,Male,E,Medium,Unemployed,26,13,11420,1,277.0,2679.0,"(25.0, 28.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.7832175161207494,924.8123418846976,724.3292252887462,Extreme Risk
2009,Male,E,Small,Employed,29,0,20280,0,207.0,742.0,"(28.0, 32.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.7058632425778125,776.2135785095774,547.9006334596977,High Risk
2009,Female,A,Medium,Employed,44,1,11690,0,77.0,459.0,"(41.0, 46.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.2939344032609634,572.3764307856317,168.24112462361475,Low Risk
2009,Male,D,Medium,Employed,25,1,10020,1,87.0,1037.0,"(23.0, 25.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.4517894200726629,587.0890399708039,265.2406168994259,Medium Risk
2009,Male,C,Small,Housewife,27,11,40960,0,22.0,1096.0,"(25.0, 28.0]",0.0,18 - 35,2.0,"€31,188 - €49,995",0.0,14 - 97 inh/km²,,0.40558781158624724,559.8797583824789,227.08040595378648,Low Risk
2009,Female,A,Medium,Employed,36,1,28800,0,126.0,889.0,"(32.0, 36.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.40022378227397554,683.9710554034382,273.7414827594869,Medium Risk
2009,Female,B,Large,Unemployed,22,15,13970,0,251.0,299.0,"(20.0, 23.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.6114349278874307,1141.4784648162677,697.9398028199897,Extreme Risk
2009,Male,C,Medium,Employed,23,0,26890,0,123.0,1028.0,"(20.0, 23.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.5481520621319694,813.6448043606861,446.0010773532729,High Risk
2009,Female,E,Small,Housewife,32,10,2795,0,74.0,244.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.38612975451528275,453.0578816869328,174.93912863698938,Low Risk
2009,Male,A,Medium,Employed,28,13,8140,0,18.0,518.0,"(25.0, 28.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.29324104205401,678.758699850493,199.0399084473836,Low Risk
2009,Male,D,Large,Self-employed,28,6,17930,0,103.0,207.0,"(25.0, 28.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.4223524950726852,714.7246344201295,301.8657326372545,Medium Risk
2009,Female,D,Medium,Self-employed,44,0,38705,0,180.0,188.0,"(41.0, 46.0]",1.0,35 - 53,2.0,"€31,188 - €49,995",1.0,97 - 193 inh/km²,,0.47002180394717447,602.2844956269157,283.086845123977,Medium Risk
2009,Male,E,Medium,Employed,42,0,23865,0,96.0,259.0,"(41.0, 46.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.44459130181485457,552.1999694618275,245.50330328515685,Low Risk
2009,Female,D,Large,Housewife,73,5,16820,1,108.0,88.0,"(54.0, 75.0]",2.0,53 - 75,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.273638797375913,260.92325706833753,71.39872627158607,Low Risk
2009,Male,C,Small,Housewife,42,2,39220,0,28.0,335.0,"(41.0, 46.0]",1.0,35 - 53,2.0,"€31,188 - €49,995",0.0,14 - 97 inh/km²,,0.36651205302701356,491.8029096075412,180.2516940849187,Low Risk
2009,Female,B,Small,Employed,40,1,24260,1,259.0,705.0,"(36.0, 41.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.5966037638453159,671.6767887372665,400.7249002481883,Medium Risk
2009,Female,D,Medium,Housewife,20,9,15265,1,114.0,870.0,"(17.999, 20.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.47399005397157,495.50699887945643,234.86538914216425,Low Risk
2009,Male,B,Large,Housewife,22,9,15305,0,212.0,2430.0,"(20.0, 23.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.6672606546431282,889.3672654297129,593.4397837487991,High Risk
2009,Female,A,Large,Employed,24,3,4485,0,92.0,768.0,"(23.0, 25.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.37306306163665237,742.5551739702745,277.01990663548764,Medium Risk
2009,Male,A,Small,Employed,36,2,27965,0,63.0,430.0,"(32.0, 36.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.3619462033228454,699.3614324528409,253.13121522673234,Medium Risk
2009,Male,A,Small,Self-employed,19,4,9550,1,51.0,661.0,"(17.999, 20.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3520261375473663,780.1520776326757,274.6339225885839,Medium Risk
2009,Male,B,Small,Housewife,27,1,8175,1,138.0,72.0,"(25.0, 28.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.5324320682014293,663.2995213592077,353.1619359943011,Medium Risk
2009,Male,E,Medium,Housewife,25,0,21080,0,238.0,83.0,"(23.0, 25.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.8782692045201053,771.9028372603049,677.9384908474202,High Risk
2009,Male,A,Large,Self-employed,52,0,17265,1,223.0,949.0,"(46.0, 54.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.4683450234740392,701.8905844729591,328.7269622611951,Medium Risk
2009,Male,E,Medium,Self-employed,28,0,9885,0,110.0,13.0,"(25.0, 28.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.47391936815003416,727.7988817306687,344.91798617009994,Medium Risk
2009,Male,A,Medium,Housewife,19,13,9760,0,156.0,130.0,"(17.999, 20.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.5280849187043284,854.3574867252697,451.17330392174836,High Risk
2009,Male,D,Medium,Housewife,30,0,4130,0,59.0,1618.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.4466520381124514,555.165782627192,247.96592830072947,Medium Risk
2009,Female,A,Small,Housewife,38,10,46360,0,150.0,41.0,"(36.0, 41.0]",1.0,35 - 53,2.0,"€31,188 - €49,995",1.0,97 - 193 inh/km²,,0.45112778482828,597.160706576052,269.3957867441448,Medium Risk
2009,Male,B,Small,Unemployed,29,3,19555,1,124.0,1703.0,"(28.0, 32.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.5036792580546796,885.1338191917711,445.8235453296162,High Risk
2009,Female,A,Small,Employed,30,0,8685,0,70.0,767.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3412104814234302,675.5447682207853,230.50295558769372,Low Risk
2009,Male,D,Medium,Employed,45,1,14830,1,148.0,990.0,"(41.0, 46.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.44979374070558636,507.0423191038178,228.0644614057418,Low Risk
2009,Male,B,Large,Unemployed,28,11,16965,1,25.0,572.0,"(25.0, 28.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.3480738403382862,732.8001620867828,255.0685666180651,Medium Risk
2009,Male,E,Small,Retired,64,9,19705,0,84.0,151.0,"(54.0, 75.0]",2.0,53 - 75,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.17584264710972367,776.9030951619819,136.61269680102046,Low Risk
2009,Male,E,Medium,Employed,18,2,17490,0,32.0,507.0,"(17.999, 20.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4764679931142567,661.6819490352391,315.27027033675023,Medium Risk
2009,Female,B,Small,Self-employed,30,0,16460,0,99.0,43.0,"(28.0, 32.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.3666559298336375,742.346554910815,272.1857663496223,Medium Risk
2009,Female,E,Large,Employed,19,0,6515,0,55.0,114.0,"(17.999, 20.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.4386091582379826,601.9196223456715,264.0074588839594,Medium Risk
2009,Male,A,Large,Retired,49,5,5890,1,291.0,197.0,"(46.0, 54.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.365541444312844,1438.7921419645081,525.9381576396768,High Risk
2009,Male,C,Small,Employed,22,1,19450,0,121.0,252.0,"(20.0, 23.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.532082804969696,816.937200511108,434.67823713204126,High Risk
2009,Male,B,Large,Employed,18,3,13995,0,129.0,1238.0,"(17.999, 20.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",1.0,97 - 193 inh/km²,,0.5341038988792312,934.2864948669185,499.00605957863195,High Risk
